LanguageName,long,short,total,have_long,area
Aari,5,5,10,TRUE,Africa
Abau,0,5,5,FALSE,Papua
abidji,0,18,18,FALSE,Africa
Abidji,0,15,15,FALSE,Africa
Abipon,5,5,10,TRUE,South America
ABIPON,0,5,5,FALSE,South America
Abua,0,10,10,FALSE,Africa
Abure,0,14,14,FALSE,Africa
Achagua,5,5,10,TRUE,South America
Achuar-Shiwiar,4,8,12,TRUE,South America
ACHUMAWI,0,6,6,FALSE,North America
Adang,5,17,22,TRUE,Papua
adioukrou,0,7,7,FALSE,Africa
Adioukrou,0,7,7,FALSE,Africa
Adzera,3,4,7,TRUE,Papua
ADZERA,3,4,7,TRUE,Papua
Afar,4,6,10,TRUE,Africa
Afitti,0,6,6,FALSE,Africa
Afrikaans,8,15,23,TRUE,Africa
Aghem,9,10,19,TRUE,Africa
AGHEM,0,10,10,FALSE,Africa
Aguaruna,0,8,8,FALSE,South America
Ahanta,0,14,14,FALSE,Africa
Ajumbu,0,10,10,FALSE,Africa
akan,0,9,9,FALSE,Africa
Akan,12,33,45,TRUE,Africa
AKAN,0,14,14,FALSE,Africa
AKAWAIO,0,10,10,FALSE,South America
Akha,0,13,13,FALSE,Eurasia
Akoose,4,8,12,TRUE,Africa
Akpes,0,10,10,FALSE,Africa
Akurio,7,7,14,TRUE,South America
Alabama,3,3,6,TRUE,North America
ALABAMA,0,3,3,FALSE,North America
ALAMBLAK,0,7,7,FALSE,Papua
Alawa,1,4,5,TRUE,Australia
ALAWA,0,4,4,FALSE,Australia
Aleut,3,3,6,TRUE,North America
ALEUT,0,3,3,FALSE,North America
Alladian,0,11,11,FALSE,Africa
ALLADIAN,0,11,11,FALSE,Africa
Amahuaca,0,16,16,FALSE,South America
AMAHUACA,0,8,8,FALSE,South America
Amanab,0,5,5,FALSE,Papua
Amarakaeri,9,9,18,TRUE,South America
Ambele,0,10,10,FALSE,Africa
AMELE,0,5,5,FALSE,Papua
Amharic,0,7,7,FALSE,Africa
AMHARIC,0,7,7,FALSE,Africa
AMO,0,10,10,FALSE,Africa
Amundava,0,12,12,FALSE,South America
Andoa,5,5,10,TRUE,South America
Anfillo,5,5,10,TRUE,Africa
Angolar,0,12,12,FALSE,Africa
Anii,0,11,11,FALSE,Africa
Apatani,1,12,13,TRUE,Eurasia
Apinaye,17,18,35,TRUE,South America
APINAYE,0,17,17,FALSE,South America
Arabela,5,5,10,TRUE,South America
ARABELA,0,7,7,FALSE,South America
Aragonese,0,12,12,FALSE,Eurasia
Arandai,0,5,5,FALSE,Papua
Araona,0,4,4,FALSE,South America
Arbore,5,5,10,TRUE,Africa
ARCHI,0,10,10,FALSE,Eurasia
Argobba,1,7,8,TRUE,Africa
Aringa,0,9,9,FALSE,Africa
Armenian,0,7,7,FALSE,Eurasia
ARMENIAN,0,6,6,FALSE,Eurasia
Assamese,1,14,15,TRUE,Eurasia
Atayal,2,6,8,TRUE,Papua
ATAYAL,2,5,7,TRUE,Papua
Attie,0,15,15,FALSE,Africa
Au,1,6,7,TRUE,Papua
AVAR,0,5,5,FALSE,Eurasia
Avatime,0,18,18,FALSE,Africa
Avikam,0,6,6,FALSE,Africa
avokaya,7,7,14,TRUE,Africa
Awa-Cuaiquer,0,10,10,FALSE,South America
Awadhi,0,8,8,FALSE,Eurasia
Awara,0,6,6,FALSE,Papua
Awing,8,9,17,TRUE,Africa
Awngi,0,6,6,FALSE,Africa
Awtuw,0,7,7,FALSE,Papua
Ayacucho Quechua,0,3,3,FALSE,South America
Ayoreo,0,10,10,FALSE,South America
Baba,0,7,7,FALSE,Africa
Babanki,0,7,7,FALSE,Africa
Badaga,4,9,13,TRUE,Eurasia
Bade,5,4,9,TRUE,Africa
Bafia,10,10,20,TRUE,Africa
bafut,9,9,18,TRUE,Africa
Bagirmi,5,11,16,TRUE,Africa
BAI,0,11,11,FALSE,Africa
BAKAIRI,0,12,12,FALSE,South America
Bakoko,0,7,7,FALSE,Africa
Balinese,0,6,6,FALSE,Papua
Balti,5,13,18,TRUE,Eurasia
bambara,7,14,21,TRUE,Africa
BAMBARA,0,14,14,FALSE,Africa
Bamunka,0,9,9,FALSE,Africa
bana,0,3,3,FALSE,Africa
Banda Malay,0,5,5,FALSE,Papua
Bangolan,0,9,9,FALSE,Africa
Bankon,0,7,7,FALSE,Africa
Barasana-Eduria,0,6,6,FALSE,South America
BARDI,3,4,7,TRUE,Australia
Bariai,0,5,5,FALSE,Papua
Baruga,0,10,10,FALSE,Papua
BASHKIR,0,11,11,FALSE,Eurasia
Basque,0,5,5,FALSE,Eurasia
BASQUE,0,5,5,FALSE,Eurasia
bassa,0,7,7,FALSE,Africa
Bassossi,4,8,12,TRUE,Africa
Batak,0,5,5,FALSE,Papua
BATAK,0,5,5,FALSE,Papua
BATS,0,10,10,FALSE,Eurasia
Baure,0,4,4,FALSE,South America
Beembe,10,10,20,TRUE,Africa
BEEMBE,0,10,10,FALSE,Africa
Befang,6,8,14,TRUE,Africa
BEJA,0,5,5,FALSE,Africa
bekwarra,5,5,10,TRUE,Africa
Belanda Viri,0,10,10,FALSE,Africa
BELLA COOLA,0,3,3,FALSE,North America
Bench,0,5,5,FALSE,Africa
Bengali,1,30,31,TRUE,Eurasia
BENGALI,0,14,14,FALSE,Eurasia
Beria,0,9,9,FALSE,Africa
berom,0,7,7,FALSE,Africa
BERTA,0,5,5,FALSE,Africa
Betta Kurumba,6,9,15,TRUE,Eurasia
bhele,0,7,7,FALSE,Africa
Bhili,9,18,27,TRUE,Eurasia
Biak,5,10,15,TRUE,Papua
biali,0,10,10,FALSE,Africa
bila,0,9,9,FALSE,Africa
Biloxi,0,8,8,FALSE,North America
Bilua,0,25,25,FALSE,Papua
bimoba,6,12,18,TRUE,Africa
Binandere,0,24,24,FALSE,Papua
Binumarien,2,3,5,TRUE,Papua
Bole,5,5,10,TRUE,Africa
Bongo,5,6,11,TRUE,Africa
Bora,6,6,12,TRUE,South America
Border Kuna,0,5,5,FALSE,South America
Boro,0,6,6,FALSE,Africa
BoRo,0,8,8,FALSE,Africa
BORORO,0,7,7,FALSE,South America
BRAHUI,5,4,9,TRUE,Eurasia
BRAO,0,9,9,FALSE,Eurasia
Breton,9,8,17,TRUE,Eurasia
BRETON,0,20,20,FALSE,Eurasia
BRIBRI,0,9,9,FALSE,North America
Brokskat,10,15,25,TRUE,Eurasia
Bubia,7,7,14,TRUE,Africa
Bukusu,5,5,10,TRUE,Africa
Bulgarian,0,12,12,FALSE,Eurasia
BULGARIAN,0,6,6,FALSE,Eurasia
Bum,0,7,7,FALSE,Africa
Bundeli,6,11,17,TRUE,Eurasia
Buol,0,6,6,FALSE,Papua
BURARRA,0,5,5,FALSE,Australia
Burji,5,5,10,TRUE,Africa
Burmese,0,13,13,FALSE,Eurasia
BURMESE,0,13,13,FALSE,Eurasia
Burun,8,8,16,TRUE,Africa
Burushaski,7,5,12,TRUE,Eurasia
BURUSHASKI,0,5,5,FALSE,Eurasia
busa,0,12,12,FALSE,Africa
Buwal,0,2,2,FALSE,Africa
CADDO,0,3,3,FALSE,North America
Cajamarca Quechua,0,3,3,FALSE,South America
CAMSA,0,6,6,FALSE,South America
Candoshi-Shapra,3,3,6,TRUE,South America
Capanahua,4,4,8,TRUE,South America
Caquinte,4,4,8,TRUE,South America
Carijona,0,7,7,FALSE,South America
Cashibo-Cacataibo,0,6,6,FALSE,South America
Catalan,0,12,12,FALSE,Eurasia
Cavinena,0,4,4,FALSE,South America
Cayubaba,0,16,16,FALSE,South America
Cebuano,0,3,3,FALSE,Papua
cerma,7,14,21,TRUE,Africa
Cha'palaa,0,4,4,FALSE,South America
Chachapoyas Quechua,0,3,3,FALSE,South America
Chacobo,0,4,4,FALSE,South America
Chamacoco,0,16,16,FALSE,South America
Chamicuro,10,10,20,TRUE,South America
Chamorro,0,6,6,FALSE,Papua
CHAMORRO,0,6,6,FALSE,Papua
Chechen,6,6,12,TRUE,Eurasia
Chepang,0,6,6,FALSE,Eurasia
CHEROKEE,0,6,6,FALSE,North America
Chickasaw,6,3,9,TRUE,North America
Chimariko,0,9,9,FALSE,North America
Chimila,10,10,20,TRUE,South America
Chipaya,5,5,10,TRUE,South America
Chipewyan,8,10,18,TRUE,North America
CHIPEWYAN,6,8,14,TRUE,North America
Choctaw,3,3,6,TRUE,North America
Chrau,10,3,13,TRUE,Eurasia
CHUAVE,0,5,5,FALSE,Papua
Chukchi,0,7,7,FALSE,Eurasia
CHUKCHI,0,7,7,FALSE,Eurasia
chumburung,0,9,9,FALSE,Africa
Chuvash,0,9,9,FALSE,Eurasia
CHUVASH,0,9,9,FALSE,Eurasia
Coeur d'Alene,0,8,8,FALSE,North America
COFAN,0,5,5,FALSE,South America
Comanche,0,6,6,FALSE,North America
Comox,0,5,5,FALSE,North America
Croatian,5,6,11,TRUE,Eurasia
Crow,5,5,10,TRUE,North America
CUBEO,0,12,12,FALSE,South America
Cuiba,0,8,8,FALSE,South America
Cupeno,5,6,11,TRUE,North America
