words,value
аборигенный,-0.25
аборт,-1
абрамович,0
абсолютный,0.333333333333333
абстрактный,-0.111111111111111
абсурд,-1
абсурдно,-1
абсурдный,-1
абхаз,0
абхазия,0
авантюра,-0.333333333333333
авантюрный,-0.333333333333333
аварийный,-1
авария,-1.25
август,0
авианосец,-0.333333333333333
авиационный,0
авиация,0.111111111111111
австралиец,-0.333333333333333
австралийский,0
австралия,0
австриец,0
австрийский,0
австрия,0
австро-венгрия,0
авто,0
автобиографический,0
автовладелец,0
автодорога,0
автолюбитель,0.222222222222222
автомат,-0.666666666666667
автоматический,-0.222222222222222
автоматчик,0
автомобилист,0
автомобильный,0
автономный,0
автор,0
автореферат,0
авторитет,0.333333333333333
авторитетный,0.666666666666667
автотранспорт,0
автошкола,0
ага,-0.333333333333333
агент,0
агентство,0
агитационный,0
агитка,-0.833333333333333
агония,-1.33333333333333
аграрный,0.333333333333333
агрессивный,-1
агрессия,-1.33333333333333
адвокат,0
адвокатский,0
адекватно,1
адекватный,1
административный,0
администрация,0
адмиралтейский,0
адресный,0
адыгея,0
ажиотажный,0
азербайджан,0
азербайджанец,0
азербайджанский,0
азиат,0
азиатский,0
азия,0
азовский,0
академия,0.222222222222222
акбар,0
акватория,0
аккаунт,0
аккуратненький,0
аккуратный,1
акт,0
активизация,0.111111111111111
активизировать,-0.333333333333333
активизироваться,0.166666666666667
активность,0
актуально,0.333333333333333
актуальный,0.333333333333333
акцент,0
акционер,0
акция,0
алгебра,0
алгоритм,0
александр,0.111111111111111
алексей,0
алехина,-0.222222222222222
алжир,0
алжирский,-0.142857142857143
алиби,0
алименты,0
алкаш,-1.66666666666667
алкоголизм,-1.33333333333333
аллергический,-0.25
алогичный,-0.75
алчный,-1.33333333333333
аль-каида,0
альтернатива,0.333333333333333
альтернативный,0
альтруистический,0.75
алюминиевый,0
алюминий,0
аляповатый,-1
аляска,0
амбивалентный,0
амбициозный,1
амбиция,0.666666666666667
америка,0
американец,0
американо,-0.111111111111111
американский,-125
амнистировать,0.333333333333333
амнистия,0.666666666666667
аморальный,-1
аморфный,-0.666666666666667
амур,0
анализ,0
анализировать,0.4
аналогичный,-0.111111111111111
анархист,0
анатольевич,-0.222222222222222
ангел,0.666666666666667
ангельский,0.666666666666667
английский,0
англоязычный,0
андорра,0
андрей,0.333333333333333
анекдот,0.333333333333333
анестезиолог,0
анкета,0
анкетирование,0
аномальный,-0.666666666666667
анонимность,0
анонимный,-0.333333333333333
анонс,0
анонсировать,0.333333333333333
антанта,0
анти,-0.666666666666667
антиалкогольный,0.4
антиамериканский,-1.33333333333333
антибиотик,-0.333333333333333
антивоенный,-0.333333333333333
антигитлеровский,0
антиглобалист,-0.333333333333333
антигосударственный,-0.666666666666667
антигуманный,-1.33333333333333
антиконституционный,-0.888888888888889
антинаркотический,1
антинародный,-0.75
антинаучный,-1.33333333333333
антиобщественный,-1.33333333333333
антиправительственный,-0.333333333333333
антисанитарный,-1.16666666666667
антисемит,-0.666666666666667
антисемитский,-1.33333333333333
антисоветизм,-0.5
антисоветский,-0.666666666666667
антисоциальный,-1.33333333333333
антитеррористический,0.666666666666667
антиутопия,-1
антифашист,0
антифашистский,0.333333333333333
антихристианский,-1
апатичный,-1.66666666666667
апелляционный,0
апелляция,-0.333333333333333
аплодисменты,1
апокалипсический,-1
апологетический,-0.333333333333333
аппарат,-0.25
аппетитный,1
апрель,0
аптека,0
араб,0
арабский,0
аравийский,0
аравия,0
арбатский,0
арбитражный,0
аргентинец,-0.111111111111111
аргентинский,-0.222222222222222
аргумент,0
аренда,0
арендный,0
арест,-0.6
арестант,0
арестованный,-1
аризона,0
арийский,0
аристократический,0.333333333333333
арифметический,0.333333333333333
аркадьевич,0
арктика,0
арктический,0
армейский,0
армия,-0.166666666666667
армянин,0
армянский,0
аромат,0.666666666666667
артерия,0
артиллерийский,0
артиллерист,-0.666666666666667
артиллерия,0
архангельск,0
архангельский,0
аслан,-0.25
асоциальный,-1.2
аспирантура,0
ассамблея,0
ассортимент,0
ассортиментный,-0.25
ассоциация,0
астраханский,0
астрахань,0
астрономический,0.333333333333333
атака,-0.333333333333333
атаковать,-0.6
ататюрк,0
атмосфера,0
атмосферный,0
атомный,0
аттестат,0.444444444444444
аттестация,0
аутентичный,0.571428571428571
афганец,0
афганистан,-0.333333333333333
афганский,-0.666666666666667
афера,-0.25
афинский,0
африка,0
ахинея,-1.33333333333333
ахматович,0
ашурков,0
аэропорт,0
аэс,0
аятолла,0
баварский,0
багдад,0
базар,0
базирование,0
базироваться,0
бакалавр,0
бакинский,0.333333333333333
бактерия,-0.444444444444444
балаклава,-0.333333333333333
балалайка,-1
балканский,0
балканы,0
баллистический,0
баллотироваться,0
баловать,0.666666666666667
балтийский,0
балтика,0
бамбуковый,0
банально,-0.666666666666667
банальность,-1
банальный,-0.333333333333333
бангладеш,0
банда,-1.16666666666667
бандит,-1.2
бандитский,-1
бандформирование,-1.33333333333333
банковский,0
банковый,0
банкрот,-1
банкротство,-1.25
барак,0
баррикада,0
барский,-0.222222222222222
басаргин,0
баснословный,-1.33333333333333
бассейн,0
бастрыкин,-0.111111111111111
батальон,0
батарея,0
батурин,0
бауман,0
бауманский,0
